time	V(n006)
4.738699998551958e-05	1.843553e-05
4.777762498551958e-05	1.843553e-05
4.816824998551957e-05	1.843553e-05
4.855887498551957e-05	1.843553e-05
4.894949998551957e-05	1.843553e-05
4.934012498551957e-05	1.843553e-05
4.973074998551956e-05	1.843553e-05
5.000000000000000e-05	1.843553e-05
5.000033333333333e-05	1.843553e-05
5.000100000000000e-05	2.494508e+01
5.000152705674674e-05	6.434318e+01
5.000201113693755e-05	1.004508e+02
5.000252671338111e-05	1.388257e+02
5.000355786626825e-05	2.153229e+02
5.000562017204252e-05	3.673114e+02
5.000974478359107e-05	6.673076e+02
5.001799400668816e-05	1.251705e+03
5.003449245288235e-05	2.360656e+03
5.006748934527072e-05	4.358041e+03
5.013348313004746e-05	7.601517e+03
5.025977073144685e-05	1.173750e+04
5.038979279417275e-05	1.405321e+04
5.056579729325076e-05	1.547760e+04
5.075122024210980e-05	1.585169e+04
5.101098321696570e-05	1.558034e+04
5.131365107843737e-05	1.484456e+04
5.170427607843737e-05	1.377710e+04
5.209490107843737e-05	1.274618e+04
5.248552607843737e-05	1.178781e+04
5.287615107843736e-05	1.090099e+04
5.326677607843736e-05	1.008084e+04
5.365740107843736e-05	9.322411e+03
5.404802607843736e-05	8.621058e+03
5.443865107843736e-05	7.972486e+03
5.482927607843735e-05	7.372725e+03
5.521990107843735e-05	6.818100e+03
5.561052607843735e-05	6.305215e+03
5.600115107843735e-05	5.830929e+03
5.639177607843734e-05	5.392336e+03
5.678240107843734e-05	4.986751e+03
5.717302607843734e-05	4.611690e+03
5.756365107843734e-05	4.264855e+03
5.795427607843733e-05	3.944122e+03
5.834490107843733e-05	3.647527e+03
5.873552607843733e-05	3.373253e+03
5.912615107843733e-05	3.119620e+03
5.951677607843732e-05	2.885075e+03
5.990740107843732e-05	2.668181e+03
6.029802607843732e-05	2.467611e+03
6.068865107843732e-05	2.282135e+03
6.107927607843732e-05	2.110617e+03
6.146990107843732e-05	1.952007e+03
6.186052607843732e-05	1.805334e+03
6.225115107843731e-05	1.669700e+03
6.264177607843731e-05	1.544273e+03
6.303240107843731e-05	1.428285e+03
6.342302607843731e-05	1.321026e+03
6.381365107843731e-05	1.221839e+03
6.420427607843730e-05	1.130117e+03
6.459490107843730e-05	1.045298e+03
6.498552607843730e-05	9.668621e+02
6.537615107843730e-05	8.943290e+02
6.576677607843729e-05	8.272546e+02
6.615740107843729e-05	7.652281e+02
6.654802607843729e-05	7.078696e+02
6.693865107843729e-05	6.548277e+02
6.732927607843728e-05	6.057776e+02
6.771990107843728e-05	5.604189e+02
6.811052607843728e-05	5.184739e+02
6.850115107843728e-05	4.796855e+02
6.889177607843727e-05	4.438162e+02
6.928240107843727e-05	4.106464e+02
6.967302607843727e-05	3.799728e+02
7.006365107843727e-05	3.516077e+02
7.045427607843727e-05	3.253772e+02
7.084490107843726e-05	3.011208e+02
7.123552607843726e-05	2.786899e+02
7.162615107843726e-05	2.579471e+02
7.201677607843726e-05	2.387653e+02
7.240740107843725e-05	2.210270e+02
7.279802607843725e-05	2.046237e+02
7.318865107843725e-05	1.894549e+02
7.357927607843725e-05	1.754277e+02
7.396990107843724e-05	1.624560e+02
7.436052607843724e-05	1.504606e+02
7.475115107843724e-05	1.393680e+02
7.514177607843724e-05	1.291101e+02
7.553240107843723e-05	1.196242e+02
7.592302607843723e-05	1.108522e+02
7.631365107843723e-05	1.027403e+02
7.670427607843723e-05	9.523891e+01
7.709490107843722e-05	8.830205e+01
7.748552607843722e-05	8.188722e+01
7.787615107843722e-05	7.595515e+01
7.826677607843722e-05	7.046950e+01
7.865740107843722e-05	6.539668e+01
7.904802607843721e-05	6.070562e+01
7.943865107843721e-05	5.636758e+01
7.982927607843721e-05	5.235600e+01
8.021990107843721e-05	4.864632e+01
8.061052607843720e-05	4.521580e+01
8.100115107843720e-05	4.204345e+01
8.139177607843720e-05	3.910983e+01
8.178240107843720e-05	3.639698e+01
8.217302607843719e-05	3.388828e+01
8.256365107843719e-05	3.156836e+01
8.295427607843719e-05	2.942303e+01
8.334490107843719e-05	2.743913e+01
8.373552607843718e-05	2.560453e+01
8.412615107843718e-05	2.390799e+01
8.451677607843718e-05	2.233911e+01
8.490740107843718e-05	2.088829e+01
8.529802607843718e-05	1.954664e+01
8.568865107843717e-05	1.830595e+01
8.607927607843717e-05	1.715862e+01
8.646990107843717e-05	1.609763e+01
8.686052607843717e-05	1.511647e+01
8.725115107843716e-05	1.420914e+01
8.764177607843716e-05	1.337008e+01
8.803240107843716e-05	1.259416e+01
8.842302607843716e-05	1.187661e+01
8.881365107843715e-05	1.121306e+01
8.920427607843715e-05	1.059943e+01
8.959490107843715e-05	1.003197e+01
8.998552607843715e-05	9.507205e+00
9.037615107843714e-05	9.021920e+00
9.076677607843714e-05	8.573145e+00
9.115740107843714e-05	8.158132e+00
9.154802607843714e-05	7.774339e+00
9.193865107843714e-05	7.419418e+00
9.232927607843713e-05	7.091196e+00
9.271990107843713e-05	6.787663e+00
9.311052607843713e-05	6.506962e+00
9.350115107843713e-05	6.247373e+00
9.389177607843712e-05	6.007309e+00
9.428240107843712e-05	5.785299e+00
9.467302607843712e-05	5.579986e+00
9.506365107843712e-05	5.390112e+00
9.545427607843711e-05	5.214515e+00
9.584490107843711e-05	5.052122e+00
9.623552607843711e-05	4.901938e+00
9.662615107843711e-05	4.763045e+00
9.701677607843710e-05	4.634593e+00
9.740740107843710e-05	4.515795e+00
9.779802607843710e-05	4.405926e+00
9.818865107843710e-05	4.304314e+00
9.857927607843710e-05	4.210337e+00
9.896990107843709e-05	4.123421e+00
9.936052607843709e-05	4.043033e+00
9.975115107843709e-05	3.968684e+00
1.001417760784371e-04	3.899918e+00
1.005324010784371e-04	3.836315e+00
1.009230260784371e-04	3.777487e+00
1.013136510784371e-04	3.723074e+00
1.017042760784371e-04	3.672745e+00
1.020949010784371e-04	3.626191e+00
1.024855260784371e-04	3.583129e+00
1.028761510784371e-04	3.543295e+00
1.032667760784371e-04	3.506448e+00
1.036574010784371e-04	3.472361e+00
1.040480260784371e-04	3.440828e+00
1.044386510784371e-04	3.411656e+00
1.048292760784371e-04	3.384668e+00
1.052199010784371e-04	3.359699e+00
1.056105260784371e-04	3.336597e+00
1.060011510784371e-04	3.315222e+00
1.063917760784370e-04	3.295443e+00
1.067824010784370e-04	3.277141e+00
1.071730260784370e-04	3.260204e+00
1.075636510784370e-04	3.244530e+00
1.079542760784370e-04	3.230024e+00
1.083449010784370e-04	3.216598e+00
1.087355260784370e-04	3.204170e+00
1.091261510784370e-04	3.192666e+00
1.095167760784370e-04	3.182015e+00
1.099074010784370e-04	3.172154e+00
1.102980260784370e-04	3.163023e+00
1.106886510784370e-04	3.154568e+00
1.110792760784370e-04	3.146737e+00
1.114699010784370e-04	3.139483e+00
1.118605260784370e-04	3.132763e+00
1.122511510784370e-04	3.126538e+00
1.126417760784370e-04	3.120768e+00
1.130324010784370e-04	3.115421e+00
1.134230260784370e-04	3.110465e+00
1.138136510784370e-04	3.105870e+00
1.142042760784370e-04	3.101608e+00
1.145949010784370e-04	3.097656e+00
1.149855260784370e-04	3.093989e+00
1.153761510784370e-04	3.090586e+00
1.157667760784370e-04	3.087427e+00
1.161574010784370e-04	3.084494e+00
1.165480260784370e-04	3.081770e+00
1.169386510784370e-04	3.079239e+00
1.173292760784370e-04	3.076886e+00
1.177199010784370e-04	3.074699e+00
1.181105260784370e-04	3.072665e+00
1.185011510784370e-04	3.070771e+00
1.188917760784370e-04	3.069009e+00
1.192824010784370e-04	3.067367e+00
1.196730260784370e-04	3.065836e+00
1.200636510784370e-04	3.064409e+00
1.204542760784370e-04	3.063078e+00
1.208449010784370e-04	3.061835e+00
1.212355260784370e-04	3.060673e+00
1.216261510784370e-04	3.059587e+00
1.220167760784370e-04	3.058571e+00
1.224074010784370e-04	3.057620e+00
1.227980260784370e-04	3.056728e+00
1.231886510784370e-04	3.055892e+00
1.235792760784370e-04	3.055106e+00
1.239699010784370e-04	3.054368e+00
1.243605260784370e-04	3.053673e+00
1.247511510784370e-04	3.053019e+00
1.251417760784370e-04	3.052402e+00
1.255324010784370e-04	3.051820e+00
1.259230260784371e-04	3.051270e+00
1.263136510784371e-04	3.050749e+00
1.267042760784371e-04	3.050256e+00
1.270949010784371e-04	3.049787e+00
1.274855260784371e-04	3.049343e+00
1.278761510784371e-04	3.048919e+00
1.282667760784371e-04	3.048516e+00
1.286574010784371e-04	3.048131e+00
1.290480260784371e-04	3.047764e+00
1.294386510784372e-04	3.047412e+00
1.298292760784372e-04	3.047075e+00
1.302199010784372e-04	3.046751e+00
1.306105260784372e-04	3.046440e+00
1.310011510784372e-04	3.046140e+00
1.313917760784372e-04	3.045851e+00
1.317824010784372e-04	3.045572e+00
1.321730260784372e-04	3.045302e+00
1.325636510784372e-04	3.045041e+00
1.329542760784373e-04	3.044787e+00
